epoch,train_loss,train_acc,val_loss,val_acc
0,2.300820310910543,0.1308888888888889,2.2923651337623596,0.162
1,2.2930860122044883,0.16844444444444445,2.2820467352867126,0.21
2,2.2830260263548956,0.20444444444444446,2.267749309539795,0.252
3,2.2681225074662104,0.2242222222222222,2.2453423738479614,0.258
4,2.2446654968791537,0.2248888888888889,2.2069013714790344,0.298
5,2.200303057829539,0.3022222222222222,2.1302297115325928,0.438
6,2.1115834017594657,0.4062222222222222,1.970425546169281,0.54
7,1.9370932579040527,0.47688888888888886,1.6829421818256378,0.554
8,1.7199926873048146,0.5391111111111111,1.3796577751636505,0.562
9,1.5473595195346408,0.588,1.3055396974086761,0.602
10,1.4544887211587694,0.6284444444444445,1.0054758042097092,0.738
11,1.3894386225276523,0.6522222222222223,1.0504550635814667,0.656
12,1.3499568932586246,0.6604444444444444,0.807554766535759,0.83
13,1.3218382431401148,0.6755555555555556,0.8176147043704987,0.806
14,1.307354923751619,0.6822222222222222,0.7456012517213821,0.842
15,1.2892470624711778,0.6975555555555556,0.7978535443544388,0.818
16,1.2651069362958272,0.706,0.737318754196167,0.816
17,1.2424508498774633,0.7055555555555556,0.6901185363531113,0.838
18,1.2257265994946163,0.7091111111111111,0.736930251121521,0.78
19,1.2244456112384796,0.7122222222222222,0.6639889776706696,0.85
20,1.2087397509151034,0.7226666666666667,0.6132805347442627,0.864
21,1.2033433649275038,0.7226666666666667,0.7444286495447159,0.802
22,1.201899786790212,0.7248888888888889,0.6035389602184296,0.882
23,1.1852324538760715,0.7297777777777777,0.7418544143438339,0.758
24,1.184305641386244,0.728,0.631709635257721,0.878
25,1.1612608366542392,0.7335555555555555,0.5794442445039749,0.87
26,1.1775740600294538,0.7284444444444444,0.6702990084886551,0.876
27,1.1534826043579314,0.7344444444444445,0.6377585381269455,0.864
28,1.1579490154981613,0.7373333333333333,0.60453861951828,0.874
29,1.143798193997807,0.7413333333333333,0.6466847211122513,0.864
